"name","lat","lon","event_name","attendance_count","yes_rsvp_count","group_name","event_datetime","link"
,,,"Election Year Humor - Free & Outdoors!",0,21,"20/30-Something South Bay Meetup","2008-08-05 18:30:00","https://www.meetup.com/20-30-Something/"
"Gestalt Haus",37.76456832885742,-122.42330169677734,"Beer Club @ Gestalt Haus",11,11,"Happy Hour Club","2008-08-07 19:00:00","https://www.meetup.com/sfbeerclub/"
"Chevy's",37.7947998046875,-122.39847564697266,"Happy Hour at Chevys Embarcadero",12,13,"Nob Hill, Russian Hill, North Beach, Pac Heights Happy Hours","2008-08-08 17:30:00","https://www.meetup.com/Nob-Russian-Pac-Heights-Happy-Hour/"
,,,"Be a kid again @ Dave & Busters!",0,52,"20/30-Something South Bay Meetup","2008-08-08 21:00:00","https://www.meetup.com/20-30-Something/"
,,,"The San Francisco Night Life 20s-30s August Meetup",0,1,"SF Fun & Outgoing SocialWised","2008-08-09 20:00:00","https://www.meetup.com/socialwisedSF/"
,,,"International Automotive Treasures",0,5,"20/30-Something South Bay Meetup","2008-08-10 13:00:00","https://www.meetup.com/20-30-Something/"
"Spreckles Temple of Music - Music Concourse",37.77066421508789,-122.46858978271484,"Singles Gathering at the Golden Gate Park Band 8/10",66,66,"The San Francisco Singles Social Group (40s & 50s)","2008-08-10 12:30:00","https://www.meetup.com/SFSingles/"
"Toronado",37.772029876708984,-122.43123626708984,"Beer Club @ Torranado",8,8,"Happy Hour Club","2008-08-14 19:00:00","https://www.meetup.com/sfbeerclub/"
,,,"Music In The Park - Rocco DeLuca",0,19,"20/30-Something South Bay Meetup","2008-08-14 18:00:00","https://www.meetup.com/20-30-Something/"
"Zen Lounge",37.39310836791992,-122.07901763916016,"Join us for Rerub featuring Dj Arturo Garces @ Zen Lounge Mt. View  Its FREE!",11,11,"!Bay Area Fun Professionals and Friends!","2009-03-11 22:00:00","https://www.meetup.com/BayAreaFunProfessionalsAndFriends/"
,,,"Drinks at Rickhouse",0,7,"SITC ▪ Singles in the City ▪ Born 1960>1979","2013-04-29 21:30:00","https://www.meetup.com/SITCSF/"
"St. James Gate Pub",37.51665115356445,-122.27032470703125,"Beer Club and Dive Bar Karaoke @ St. James Gate Irish Pub",11,11,"Happy Hour Club","2008-08-20 19:30:00","https://www.meetup.com/sfbeerclub/"
,,,"Thursday Happy Hour at District",9,9,"Nob Hill, Russian Hill, North Beach, Pac Heights Happy Hours","2008-08-21 18:00:00","https://www.meetup.com/Nob-Russian-Pac-Heights-Happy-Hour/"
,,,"Bay Area Asian American late 20s/30s Singles Group August Meetup",0,18,"Awesome Asian Americans!!!","2008-08-21 19:15:00","https://www.meetup.com/AsiansAmericans/"
,,,"SpeedDating for Busy Singles!!!!",16,16,"!Bay Area Fun Professionals and Friends!","2008-08-22 19:00:00","https://www.meetup.com/BayAreaFunProfessionalsAndFriends/"
